,country,year,gdp_per_capita,water_stress,total_population_with_access_to_safe_drinking_water
22,Fiji,2023,5689.164139251157,0.29737307437228894,95.69927261469603
23,Fiji,2024,5912.16248739253,0.29737308917449995,95.69906710195554
24,Fiji,2025,6135.160835533903,0.29737310397671096,95.69886158921504
20,Democratic Republic of the Congo,2021,534.9492941147104,0.22688354890014226,52.396070787691365
21,Democratic Republic of the Congo,2022,536.2671699520288,0.22688359251220921,52.39425960818515
22,Democratic Republic of the Congo,2023,537.5850457893473,0.2268836361242762,52.39244842867894
23,Democratic Republic of the Congo,2024,538.9029216266657,0.22688367973634319,52.39063724917273
24,Democratic Republic of the Congo,2025,540.2207974639841,0.22688372334841014,52.38882606966652
20,Yemen,2021,997.957293378879,169.76191536175298,54.900016049588686
21,Yemen,2022,1058.6875254908502,169.76192596160564,54.90002441182388
22,Yemen,2023,1119.4177576028217,169.76193656145827,54.90003277405906
23,Yemen,2024,1180.1479897147929,169.7619471613109,54.90004113629425
24,Yemen,2025,1240.8782218267643,169.76195776116356,54.900049498529434
20,Chad,2021,652.4860113307967,4.294922621503413,50.80016353858825
21,Chad,2022,625.8965243430422,4.294923837054168,50.800327077169605
22,Chad,2023,599.3070373552878,4.294925052604922,50.80049061575095
23,Chad,2024,572.7175503675332,4.294926268155677,50.8006541543323
24,Chad,2025,546.1280633797788,4.294927483706432,50.800817692913654
20,Côte d'Ivoire,2021,2390.5034389511297,5.087565594314542,81.899252847795
21,Côte d'Ivoire,2022,2462.916338511699,5.087565514329097,81.89867129754093
22,Côte d'Ivoire,2023,2535.329238072268,5.087565434343651,81.89808974728687
23,Côte d'Ivoire,2024,2607.7421376328366,5.0875653543582064,81.89750819703282
24,Côte d'Ivoire,2025,2680.155037193406,5.0875652743727615,81.89692664677877
20,Czechia,2021,23737.11918609385,19.09301651536034,100.00519095117873
21,Czechia,2022,24555.361999275025,17.185097067637074,100.00998590173401
22,Czechia,2023,25373.6048124562,15.277177619913804,100.01478085228928
23,Czechia,2024,26191.847625637376,13.369258172190538,100.01957580284456
24,Czechia,2025,27010.09043881855,11.461338724467268,100.02437075339982
20,Viet Nam,2021,2909.1200069978995,18.130320201617852,97.61339267071416
21,Viet Nam,2022,3032.515787713932,18.13032502403555,97.62678534093493
22,Viet Nam,2023,3155.911568429964,18.130329846453247,97.6401780111557
23,Viet Nam,2024,3279.3073491459963,18.130334668870944,97.65357068137646
24,Viet Nam,2025,3402.7031298620286,18.13033949128864,97.66696335159722
20,Cyprus,2021,28247.013028091056,38.9746663997621,100.0
21,Cyprus,2022,28350.893590804983,40.36048651415668,100.0
22,Cyprus,2023,28454.774153518905,41.746306628551274,100.0
23,Cyprus,2024,28558.65471623283,43.13212674294586,100.0
24,Cyprus,2025,28662.535278946754,44.51794685734045,100.0
20,Chile,2021,11721.707672917226,8.982122317901727,99.00029051202965
21,Chile,2022,10211.705698416916,8.98212354680341,99.0005428667363
22,Chile,2023,8701.703723916606,8.982124775705094,99.00079522144296
23,Chile,2024,7191.701749416297,8.982126004606776,99.0010475761496
24,Chile,2025,5681.699774915988,8.982127233508459,99.00129993085625
20,Cuba,2021,9831.345126907228,24.13838482754681,94.90699140707328
21,Cuba,2022,10184.824795283123,24.337323582749782,94.91398281392742
22,Cuba,2023,10538.304463659018,24.53626233795276,94.92097422078156
23,Cuba,2024,10891.784132034913,24.735201093155734,94.9279656276357
24,Cuba,2025,11245.263800410808,24.934139848358708,94.93495703448984
20,Croatia,2021,14107.679754216388,1.474494853751041,99.60029841607957
21,Croatia,2022,14273.524422563642,1.467876681283966,99.6005959370332
22,Croatia,2023,14439.369090910894,1.4612585088168915,99.60089345798684
23,Croatia,2024,14605.213759258148,1.4546403363498168,99.60119097894047
24,Croatia,2025,14771.0584276054,1.4480221638827422,99.6014884998941
20,Costa Rica,2021,12144.271648889979,5.90498669113162,97.80502034931705
21,Costa Rica,2022,11955.0946742272,6.4430009801642365,97.81004069849499
22,Costa Rica,2023,11765.917699564425,6.9810152691968534,97.81506104767291
23,Costa Rica,2024,11576.740724901647,7.51902955822947,97.82008139685085
24,Costa Rica,2025,11387.563750238869,8.057043847262086,97.82510174602878
20,Congo,2021,1876.218115095919,0.027446301710661883,76.4997793594789
21,Congo,2022,1922.0537310959191,0.02744630202392272,76.49949597924369
22,Congo,2023,1967.8893470959192,0.02744630233718356,76.49921259900847
23,Congo,2024,2013.724963095919,0.0274463026504444,76.49892921877326
24,Congo,2025,2059.560579095919,0.027446302963705236,76.49864583853804
20,China,2021,10840.774079301827,42.03414327131352,95.5120677917384
21,China,2022,11250.447530262243,41.490165252239635,95.5232756104986
22,China,2023,11660.120981222659,40.94618723316575,95.5344834292588
23,China,2024,12069.794432183075,40.402209214091876,95.545691248019
24,China,2025,12479.46788314349,39.85823119501799,95.5568990667792
20,Comoros,2021,1440.8307594103737,0.8333333333,90.1
21,Comoros,2022,1460.567734466219,0.8333333333,90.1
22,Comoros,2023,1480.304709522064,0.8333333333,90.1
23,Comoros,2024,1500.0416845779093,0.8333333333,90.1
24,Comoros,2025,1519.7786596337544,0.8333333333,90.1
20,Democratic People's Republic of Korea,2021,618.0138434544555,27.740468227233336,99.69602620597293
21,Democratic People's Republic of Korea,2022,618.1404515663993,27.740468655666653,99.69217427422996
22,Democratic People's Republic of Korea,2023,618.267059678343,27.740469084099974,99.68832234248698
23,Democratic People's Republic of Korea,2024,618.3936677902867,27.740469512533295,99.68447041074401
24,Democratic People's Republic of Korea,2025,618.5202759022305,27.740469940966612,99.68061847900103
20,Jamaica,2021,4712.310836616113,12.436298926674933,93.79569337190493
21,Jamaica,2022,4760.101942312459,12.413587994957757,93.79324260095825
22,Jamaica,2023,4807.893048008806,12.390877063240582,93.79079183001157
23,Jamaica,2024,4855.684153705151,12.368166131523406,93.7883410590649
24,Jamaica,2025,4903.475259401498,12.345455199806231,93.78589028811822
20,Finland,2021,50611.893189103874,7.191084605849817,100.0
21,Finland,2022,52529.37026271537,7.268107074033364,100.0
22,Finland,2023,54446.847336326864,7.345129542216911,100.0
23,Finland,2024,56364.32440993836,7.422152010400459,100.0
24,Finland,2025,58281.801483549854,7.499174478584006,100.0
20,Gabon,2021,6971.227385215601,0.5021661556346209,93.20164466460541
21,Gabon,2022,7046.527412494866,0.5021662452661493,93.20276045706608
22,Gabon,2023,7121.827439774132,0.5021663348976778,93.20387624952673
23,Gabon,2024,7197.127467053397,0.5021664245292062,93.2049920419874
24,Gabon,2025,7272.427494332662,0.5021665141607347,93.20610783444805
20,Brazil,2021,5969.278590264506,1.4944342951074734,98.09871777719448
21,Brazil,2022,5132.460075588878,1.5095643187074732,98.097952633139
22,Brazil,2023,4295.641560913248,1.524694342307473,98.09718748908354
23,Brazil,2024,3458.823046237619,1.5398243659074728,98.09642234502807
24,Brazil,2025,2622.00453156199,1.5549543895074727,98.09565720097261
20,Italy,2021,30982.949963615443,28.92181406990312,100.0
21,Italy,2022,30717.98072265331,28.840052665717053,100.0
22,Italy,2023,30453.011481691177,28.758291261530985,100.0
23,Italy,2024,30188.042240729046,28.676529857344917,100.0
24,Italy,2025,29923.07299976691,28.59476845315885,100.0
