,country,year,%_of_agricultural_gva_produced_by_irrigated_agriculture,%_of_total_country_area_cultivated,agricultural_water_withdrawal_as_%_of_total_water_withdrawal,agriculture_value_added_%_gdp,cultivated_area_arable_land_plus_permanent_crops,dam_capacity_per_capita,gdp_per_capita,industrial_water_withdrawal,municipal_water_withdrawal,population_density,rural_population,industrial_water_use_efficiency,irrigated_agriculture_water_use_efficiency,services_water_use_efficiency,water_use_efficiency,total_agricultural_water_managed_area,total_internal_renewable_water_resources_per_capita,total_population,total_population_with_access_to_safe_drinking_water,total_renewable_water_resources_per_capita,total_water_withdrawal,total_water_withdrawal_per_capita,urban_population,%_of_agricultural_water_managed_area_equipped_for_irrigation,agricultural_water_withdrawal,agricultural_water_withdrawal_as_%_of_total_renewable_water_resources,dependency_ratio,groundwater_accounted_inflow,groundwater_entering_the_country_total,national_rainfall_index,ratio_between_rainfed_and_irrigated_yields,water_stress,surface_water_entering_the_country_total,surface_water_leaving_the_country_to_other_countries_total,total_area_of_the_country_excl_coastal_water,total_dam_capacity,total_internal_renewable_water_resources,total_renewable_groundwater,water_resources_total_external_renewable
10,Mauritius,2021,30.837599178125124,35.11333676489402,50.575559034185765,1.8100033455402884,71.6312070003943,80.30667932312427,12269.57041481755,0.0009931578900073627,0.3244488714618794,635.2616052822559,771.7586652530013,195.70756021475745,-23.68568170154749,21.570808613665065,4.818881051421043,16.845635071539586,2116.5843395118095,1295.9336747756852,100.12090561611862,2116.5843395118095,0.6765713117270811,534.0650555532849,517.5517267559668,100.0,0.32481345515390975,11.807104876508369,0.0,0.0,0.0,317.79302707685855,1.684,24.494344930992927,0.0,0.0,204.0,0.10101339737601074,2.751,0.893,0.0
11,Mauritius,2022,30.605077776292845,34.996234799169585,50.922183122675186,2.4000888763915396,71.39231899023815,91.08075460322239,12932.40877775615,-0.004527044165265864,0.3040584035121603,636.2307760227352,774.2826872214519,281.70934936635786,-1.2638325569232869,19.984000494063253,14.95148886385661,16.78362545911553,2113.6365733444586,1297.9107830864332,100.20732487064532,2113.6365733444586,0.6798340500272546,534.4954292079959,516.3216573614703,100.0,0.29729939229875313,10.80695719000738,0.0,0.0,0.0,318.26741721312374,1.684,24.63425845437757,0.0,0.0,204.0,0.11417994535478519,2.751,0.893,0.0
12,Mauritius,2023,30.48845830785417,34.42024256162429,51.23345877697798,2.1414275185996297,70.21729482570515,79.8611144338328,12945.160344123098,-0.009797354325556257,0.27778436786788174,637.3087053456366,776.9280363553804,362.89570330726883,-11.208019604710753,16.37315952644073,9.120990807606965,15.882207917841976,2110.1595792657004,1300.1097589051774,100.19239620605124,2110.1595792657004,0.6794167288883937,531.9794551295889,515.0974887146862,100.0,0.2647351806744128,9.623234484741465,0.0,0.0,0.0,318.79324485675215,1.684,24.64284431797132,0.0,0.0,204.0,0.10056394000012002,2.751,0.893,0.0
13,Mauritius,2024,30.329502350741937,33.8204192993701,49.64068977286357,1.7292922363703505,68.9936553707791,88.95299949268313,13125.027642982765,-0.019570870227208326,0.2848421088199262,638.4342172564353,779.6263027184538,454.6394372055246,-22.45089506766254,8.974509579398445,1.979427821875027,15.504767525448392,2106.40870022445,1302.4058032030944,100.27678075385055,2106.40870022445,0.7386069202451007,578.6139797847567,513.8041478495076,100.0,0.25508984368069176,9.272622452907376,0.0,0.0,0.0,319.359529682628,1.684,26.82304243909817,0.0,0.0,204.0,0.11110171247036521,2.751,0.893,0.0
14,Mauritius,2025,30.154485760137728,33.79341567493003,47.93375188569555,1.7148735186691657,68.93856797685352,99.11668956029507,13990.84149068645,-0.029797677652513902,0.2919252224663409,639.3983881390161,782.0981571908213,536.9528444800101,-34.742584333285045,0.5896824230121933,-5.974566118240962,15.718516973810527,2103.213247230296,1304.3727118036527,100.25711061998373,2103.213247230296,0.8057864469429543,631.4851802724589,512.4226752377544,100.0,0.24536896176504341,8.919264331677342,0.0,0.0,0.0,319.84515668074135,1.684,29.29859043064611,0.0,0.0,204.0,0.12264236510088736,2.751,0.893,0.0
15,Mauritania,2021,27.78967732686478,0.4052479295970087,90.5745549540942,13.080453968719336,417.6890410893125,104.51394150113546,1621.8652621813264,0.03180508984622758,0.09541526953933502,4.628136156198185,2153.8008143037796,93.05507614725104,0.23149617098062297,34.10515442250682,4.836918457240469,108.64532621145975,83.61115320130277,4770.21993641608,57.40932351011039,2382.917866226643,1.3485706748792632,280.70122989830764,2750.0261628335297,41.459328073712136,1.221267635107301,10.712905988960346,96.4912280702,0.0,0.0,190.3,3.569,13.230159884059775,0.0,0.0,103070.0,0.5,0.4,0.3,11.0
16,Mauritania,2022,27.86916368677898,0.3763777375884322,90.57068702528797,10.821594216754658,387.93253410129597,101.21070457569769,1052.2404279157665,0.031798983324697314,0.09539694997548533,4.737613244808529,2171.6218516460735,96.06549122440958,0.13129410951261597,29.310762967606543,4.546713237393914,108.79087843459689,80.96856366113018,4883.057971587837,57.45224831041295,2307.6040643265596,1.343309745080906,267.7110329864758,2845.8361469022907,41.41607383710468,1.2156292012286638,10.663508655961055,96.4912280702,0.0,0.0,190.3,3.569,13.178374345155015,0.0,0.0,103070.0,0.5,0.4,0.3,11.0
17,Mauritania,2023,28.099903439969257,0.4188766563619305,90.57550811427001,-5.838639645412275,431.73616975531746,96.87896528754774,718.1992446903633,0.03175789817931568,0.0952736945419456,4.822544568683767,2193.308521931725,195.15275515670112,-0.07599144035594602,30.287683912131634,6.951642069681026,109.41244850685604,77.50317223153336,4970.59668762296,56.72624691444033,2208.8404085555967,1.3281158444883703,244.7956645484468,2915.741872502969,41.18220880562124,1.1992620378566539,10.520118303248,96.4912280702,0.0,0.0,190.3,3.569,13.0288142181227,0.0,0.0,103070.0,0.5,0.4,0.3,11.0
18,Mauritania,2024,28.55311174675781,0.30717156300961734,90.65055213873774,-0.5993078403650891,316.6017297328222,91.09463214990066,-692.1100033538503,0.0315577153162261,0.09467314595468927,4.876250932443824,2220.8332289432033,154.98441327018702,-0.22328916092847384,11.738263405165814,4.87193411763617,111.98538047087146,72.8757057214297,5025.951836251242,58.97157729471072,2076.9576130171636,1.2983867055668954,210.7679102716742,2951.1772977619817,40.002939000205494,1.1670137673782097,10.23747860571625,96.4912280702,0.0,0.0,190.3,3.569,12.736353374785887,0.0,0.0,103070.0,0.5,0.4,0.3,11.0
19,Mauritania,2025,29.46689376698085,0.4564091230239343,90.85930725433491,-34.60720871629631,470.4208832286682,82.19565478512706,-761.477473869975,0.03105762281966161,0.09317286847099042,4.861277880549423,2260.490561360409,387.368591479422,-0.5508858949667118,19.158503952422112,11.151960839181282,116.79723142827476,65.75652383155368,5010.519112997218,59.38335908293933,1874.0609290971631,1.2386084523422314,152.049319979344,2911.6025716278796,37.81981790354573,1.102057775414453,9.668194595004296,96.4912280702,0.0,0.0,190.3,3.569,12.148249450311534,0.0,0.0,103070.0,0.5,0.4,0.3,11.0
20,United Kingdom of Great Britain and Northern Ireland,2021,7.991712161075378,24.44735574280764,12.539350044875462,0.6162130586699928,5955.620331944441,76.69332835627263,44377.710042646424,1.4792703985672961,6.933566798450923,280.2043206604856,10783.312337787933,331.71197716155757,70.82826933550265,432.4309517499143,424.6269106641925,395.70695256579984,2109.5575475032033,68260.57455610405,100.0,2138.6548929859873,9.45390001801403,140.55378013808902,56949.047337747994,100.0,1.0882113570155436,0.7402798345400949,1.3605442177,0.0,0.0,1082.0,1.778,18.20503462403248,2.0,3.0,24361.0,5.2715,145.0,9.8,2.0
21,United Kingdom of Great Britain and Northern Ireland,2022,8.176069049845811,23.9489823865857,15.939395929263789,0.35499190842008876,5834.2115991208775,75.71663368730884,49137.05366552625,2.0148063770092737,6.671746220505226,283.2355654593274,10742.364189200076,344.05279083201845,55.61459409088772,455.1774363491141,456.73323577255263,349.4427768796477,2082.6921909625967,68999.01610155577,100.0,2111.4189798035063,10.224578207083246,152.43914270925202,57672.84687649333,100.0,1.5737070346473256,1.0705490031328573,1.3605442177,0.0,0.0,1082.0,1.778,17.71814135386375,2.0,3.0,24361.0,5.2715,145.0,9.8,2.0
22,United Kingdom of Great Britain and Northern Ireland,2023,8.380078587556927,24.528940818769176,16.15630071131562,0.24578074772945835,5975.495272803152,74.72122656447858,51858.95691100439,2.70563060053773,6.958780555454931,286.34829557003934,10703.184311952737,350.28037495586443,23.219534739929912,456.5831263528385,480.35754692564495,290.57946558173535,2055.3121221361785,69757.30828382834,100.0,2083.6612548552644,11.250758940462807,168.57152244205906,58410.75638702465,100.0,1.6090976730587143,1.0946242673365623,1.3605442177,0.0,0.0,1082.0,1.778,17.165957443761254,2.0,3.0,24361.0,5.2715,145.0,9.8,2.0
23,United Kingdom of Great Britain and Northern Ireland,2024,8.605011051838808,23.918626601194926,13.220636272924683,0.20484289241209463,5826.816626248122,73.7789486907643,52936.43238649102,3.567913060730561,7.309713774819493,289.3414891539511,10656.516988952599,345.3978216436743,-19.723645029670053,455.6340077736654,505.1874841538217,307.57277813865494,2029.3934478166873,70486.48017278504,100.0,2057.3850815796927,12.13670795928712,182.437261690243,59125.08705122097,100.0,1.2665706019473522,0.8616126544410747,1.3605442177,0.0,0.0,1082.0,1.778,16.541326775087605,2.0,3.0,24361.0,5.2715,145.0,9.8,2.0
24,United Kingdom of Great Britain and Northern Ireland,2025,8.854197272402828,24.318272098082414,13.312484379252524,0.28127190041215955,5924.174265741711,72.94743776819226,58232.87923293134,4.619854722613052,7.731451253658169,292.04380156483097,10594.090724135434,307.6331395077266,179.7268185794978,449.84860415728525,453.74668138362443,327.214479468591,2006.5215738183163,71144.79049919838,100.0,2034.1977334572507,13.764290023519598,208.79492680968295,59784.331567090645,100.0,1.4035813934133703,0.954817274418648,1.3605442177,0.0,0.0,1082.0,1.778,15.836806085530554,2.0,3.0,24361.0,5.2715,145.0,9.8,2.0
25,Malta,2021,54.540751463959836,32.859921142613715,7.328419358113493,-0.5106585696074133,10.515174762897129,0.0,34510.15819629,0.0008770139318305664,0.05645247409998821,1388.0016148867458,19.459583358989473,2040.9782205459364,1.2169698665583348,77.24594073138016,179.82877201448,2.927873935184149,113.11377141439603,444.1605167637563,100.0,113.11377141439603,0.07019414112399577,156.52235444525002,419.05157300072483,113.9009444622103,0.01302003708194336,25.770420516083494,0.0,0.0,0.0,694.0117236554345,1.778,76.33713524312711,0.0,0.0,32.0,0.0,0.0505,0.05,0.0
26,Malta,2022,62.53948626357315,28.99094825190157,36.409016317938054,2.6051265548554756,9.277103442488976,0.0,35625.41130731765,0.0010465285239088511,0.03912737954584499,1394.2520775527628,21.11110092625945,976.6319748013944,5.5255955802827454,302.0730186309886,169.2477279795735,3.8933144677588247,112.78475543566128,446.160664816887,100.0,112.78475543566128,0.06693686234196891,151.56931183086908,418.0682934567947,68.62949717081494,0.02522500855574309,49.95385003445516,0.0,0.0,0.0,697.1344577203761,1.778,77.14350731839986,0.0,0.0,32.0,0.0,0.0505,0.05,0.0
27,Malta,2023,59.73557913300645,31.557579477128414,2.8738460301760984,-3.0895154724591674,10.098425427143535,0.0,48258.497500179314,0.0007757702001150718,0.0616589165580178,1402.8173736414371,19.888631705663865,3238.0403530367935,-3.3949364481603457,-4.069298220216098,167.082580710202,2.8699107678812337,111.83319791539078,448.90155956525155,100.0,111.83319791539078,0.07482808677518357,168.2707325635996,422.17633996788277,119.65402480550858,0.012261870896582518,24.275721432662056,0.0,0.0,0.0,701.4216267070399,1.778,97.61166317800357,0.0,0.0,32.0,0.0,0.0505,0.05,0.0
