,country,year,%_of_agricultural_gva_produced_by_irrigated_agriculture,%_of_agricultural_water_managed_area_equipped_for_irrigation,%_of_total_country_area_cultivated,agricultural_water_withdrawal,agricultural_water_withdrawal_as_%_of_total_renewable_water_resources,agricultural_water_withdrawal_as_%_of_total_water_withdrawal,agriculture_value_added_%_gdp,cultivated_area_arable_land_plus_permanent_crops,dam_capacity_per_capita,dependency_ratio,gdp_per_capita,groundwater_accounted_inflow,groundwater_entering_the_country_total,industrial_water_withdrawal,municipal_water_withdrawal,national_rainfall_index,population_density,ratio_between_rainfed_and_irrigated_yields,rural_population,industrial_water_use_efficiency,irrigated_agriculture_water_use_efficiency,services_water_use_efficiency,water_use_efficiency,water_stress,surface_water_entering_the_country_total,surface_water_leaving_the_country_to_other_countries_total,total_agricultural_water_managed_area,total_area_of_the_country_excl_coastal_water,total_dam_capacity,total_internal_renewable_water_resources,total_internal_renewable_water_resources_per_capita,total_population,total_population_with_access_to_safe_drinking_water,total_renewable_groundwater,total_renewable_water_resources_per_capita,total_water_withdrawal,total_water_withdrawal_per_capita,urban_population,water_resources_total_external_renewable
20,Mauritius,2021,29.87765676715313,100.0,38.69383209017106,0.28939266666607855,10.520334119248586,47.76883716053434,3.507545329934488,78.93541291993179,72.83487678383887,0.0,8771.586273226387,0.0,0.0,0.007972270632188548,0.30459386786490317,312.4515243818481,624.5985051164809,1.684,757.0479384433833,205.139334895974,0.387634824884186,26.015759533993894,15.80432284079385,21.832789568604856,0.0,0.0,15.340174943684824,204.0,0.09287255846462542,2.751,2158.9751323049463,1274.180936008874,99.89583311883365,0.893,2158.9751323049463,0.6034670935371875,473.4069357423532,520.3327150442512,0.0
21,Mauritius,2022,29.57709681985603,100.0,38.66217398496456,0.2792592578261817,10.15280077674754,46.14368062237792,3.7798892042788816,78.87082584133746,72.64617024919059,0.0,8942.985901998727,0.0,0.0,0.006911763569236222,0.3138032538268805,313.0334622779645,625.7531467415212,1.684,759.2231993220664,217.194994976274,0.38991034262179575,23.68107710475266,14.3832118583863,21.79278929236908,0.0,0.0,14.935444100693564,204.0,0.09287510413564835,2.751,2154.942717730316,1276.5364044673424,99.89376447674614,0.893,2154.942717730316,0.6018206687802719,471.07983447755436,521.3669359481814,0.0
22,Mauritius,2023,29.276536872558932,100.0,38.63051587975806,0.26912584898628483,9.785267434246496,44.51852408422151,4.052233078623275,78.80623876274312,72.45746371454231,0.0,9114.38553077107,0.0,0.0,0.005851256506283895,0.32301263978885786,313.6154001740808,626.9077883665614,1.684,761.3984602007496,229.25065505657398,0.3921858603594055,21.346394675511426,12.962100875978752,21.7527890161333,0.0,0.0,14.530713257702306,204.0,0.09287764980667129,2.751,2150.9103031556856,1278.8918729258107,99.89169583465862,0.893,2150.9103031556856,0.6001742440233563,468.7527332127556,522.4011568521117,0.0
23,Mauritius,2024,28.975976925261833,100.0,38.598857774551554,0.258992440146388,9.41773409174545,42.8933675460651,4.324576952967669,78.74165168414878,72.26875717989404,0.0,9285.785159543411,0.0,0.0,0.004790749443331568,0.3322220257508352,314.1973380701971,628.0624299916017,1.684,763.5737210794326,241.306315136874,0.39446137809701526,19.011712246270193,11.540989893571203,21.712788739897523,0.0,0.0,14.125982414711048,204.0,0.09288019547769423,2.751,2146.8778885810552,1281.247341384279,99.8896271925711,0.893,2146.8778885810552,0.5985278192664406,466.42563194795673,523.4353777560419,0.0
24,Mauritius,2025,28.67541697796473,100.0,38.56719966934505,0.24885903130649117,9.050200749244404,41.26821100790868,4.596920827312062,78.67706460555443,72.08005064524575,0.0,9457.184788315752,0.0,0.0,0.003730242380379241,0.34143141171281255,314.7792759663134,629.2170716166419,1.684,765.7489819581158,253.361975217174,0.396736895834625,16.67702981702896,10.119878911163653,21.672788463661746,0.0,0.0,13.721251571719788,204.0,0.09288274114871718,2.751,2142.845474006425,1283.6028098427475,99.88755855048358,0.893,2142.845474006425,0.5968813945095249,464.09853068315795,524.4695986599722,0.0
20,Mauritania,2021,27.765073056629664,41.32972790804299,0.39912348020322086,1.2229990194487455,10.728061429915726,90.57917322390743,19.787579796098253,411.35429256821095,104.10448310855021,96.4912280702,1730.4462794790409,0.0,0.0,0.03180000868019335,0.09540002604058002,190.3,4.629371181682155,3.569,2157.481083428955,55.88577414792311,0.29190618047833006,33.05649548611803,4.0113599023150135,13.246204487580737,0.0,0.0,108.87816576291534,103070.0,0.5,0.4,83.28359398237114,4771.432498731565,57.900674913506805,0.3,2373.5819858636023,1.3501991358849417,281.8601550813285,2750.820033800652,11.0
21,Mauritania,2022,27.765086284658928,41.284904071901174,0.3992712260183624,1.2229980388975201,10.728052684431713,90.57917299201488,19.38737757539993,411.4908017838832,100.70628306579023,96.4912280702,1758.0379975680366,0.0,0.0,0.031800017264319254,0.09540005179295773,190.3,4.747856795795132,3.569,2177.8496690215347,55.20678372175066,0.2695583437251379,33.71819231467168,4.114621061015013,13.246191643661845,0.0,0.0,108.97335526258468,103070.0,0.5,0.4,80.56504312234378,4893.448329759302,57.90127591001859,0.3,2296.102739367892,1.350198271769909,273.35725618274347,2855.3104321706887,11.0
22,Mauritania,2023,27.765099512688195,41.24008023575936,0.39941897183350394,1.2229970583462946,10.7280439389477,90.5791727601223,18.987175354701606,411.62731099955556,97.30808302303025,96.4912280702,1785.6297156570322,0.0,0.0,0.03180002584844516,0.09540007754533543,190.3,4.866342409908109,3.569,2198.218254614114,54.52779329557822,0.24721050697194577,34.379889143225334,4.217882219715014,13.246178799742955,0.0,0.0,109.06854476225402,103070.0,0.5,0.4,77.84649226231643,5015.46416078704,57.90187690653037,0.3,2218.6234928721815,1.3501974076548764,264.8543572841585,2959.8008305407257,11.0
23,Mauritania,2024,27.76511274071746,41.195256399617534,0.39956671764864543,1.2229960777950692,10.728035193463684,90.57917252822973,18.58697313400328,411.76382021522784,93.90988298027027,96.4912280702,1813.221433746028,0.0,0.0,0.03180003443257106,0.09540010329771313,190.3,4.984828024021086,3.569,2218.586840206693,53.84880286940578,0.2248626702187536,35.041585971778986,4.321143378415013,13.246165955824063,0.0,0.0,109.16373426192337,103070.0,0.5,0.4,75.12794140228908,5137.479991814777,57.90247790304215,0.3,2141.144246376471,1.3501965435398438,256.35145838557344,3064.2912289107626,11.0
24,Mauritania,2025,27.765125968746727,41.15043256347572,0.399714463463787,1.222995097243844,10.728026447979671,90.57917229633718,18.186770913304954,411.9003294309002,90.51168293751029,96.4912280702,1840.8131518350235,0.0,0.0,0.03180004301669696,0.09540012905009083,190.3,5.103313638134063,3.569,2238.9554257992722,53.16981244323334,0.20251483346556148,35.70328280033264,4.424404537115014,13.246153111905173,0.0,0.0,109.2589237615927,103070.0,0.5,0.4,72.40939054226172,5259.495822842515,57.90307889955393,0.3,2063.6649998807607,1.3501956794248111,247.84855948698845,3168.7816272807995,11.0
