,country,year,%_of_agricultural_gva_produced_by_irrigated_agriculture,%_of_agricultural_water_managed_area_equipped_for_irrigation,%_of_total_country_area_cultivated,agricultural_water_withdrawal,agricultural_water_withdrawal_as_%_of_total_renewable_water_resources,agricultural_water_withdrawal_as_%_of_total_water_withdrawal,agriculture_value_added_%_gdp,cultivated_area_arable_land_plus_permanent_crops,dam_capacity_per_capita,dependency_ratio,groundwater_accounted_inflow,groundwater_entering_the_country_total,industrial_water_withdrawal,municipal_water_withdrawal,national_rainfall_index,population_density,ratio_between_rainfed_and_irrigated_yields,rural_population,industrial_water_use_efficiency,irrigated_agriculture_water_use_efficiency,services_water_use_efficiency,water_use_efficiency,surface_water_entering_the_country_total,surface_water_leaving_the_country_to_other_countries_total,total_agricultural_water_managed_area,total_area_of_the_country_excl_coastal_water,total_dam_capacity,total_internal_renewable_water_resources,total_internal_renewable_water_resources_per_capita,total_population,total_renewable_groundwater,total_renewable_water_resources_per_capita,total_water_withdrawal,total_water_withdrawal_per_capita,urban_population,water_resources_total_external_renewable
6387,Poland,2020,1.1010295993,100.0,36.042979118,1.389,2.2958677686,15.0779623466,2.502175,11271.0,78.1021053642,11.4049586777,0.0,0.0,5.867969,1.9551511,600.9,121.0278245019,1.778,15160.592,22.679791337,0.1102047401,174.9770778575,51.6007643617,6.9,2.14,600.9,31271.0,2.9559,53.6,1416.2430554218,37846.611,12.5,1598.5579263623,9.2121201,243.4067372637,22781.639,6.9
6444,Portugal,2020,40.0261261183,100.0,19.714258297,3.41948,4.4179328165,55.7564215239,2.105403,1818.1593,1140.8288693931,50.9043927649,0.0,0.0,1.82966,0.88375,920.7,110.5626745719,1.778,3442.606,18.1949675211,0.5015327526,158.091936773,28.4889072875,33.4,0.0,547.8,9222.56,11.6327,38.0,3726.6926024858,10196.709,4.0,7590.6844061157,6.13289,601.4577840752,6775.807,39.4
6501,Puerto Rico,2020,35.6123854408,100.0,7.3506200676,0.1135,1.5985915493,3.4661780424,0.618005,65.2,,0.0,0.0,0.0,2.365,0.796,1093.0,322.5313416009,1.778,234.336,19.3078743141,1.7967601344,59.009951264,28.3521075689,0.0,0.0,22.04,887.0,,7.1,2481.7772881025,2860.853,0.0,2481.7772881025,3.2745,1144.588694351,3416.272,0.0
6558,Qatar,2020,100.0,100.0,2.088772846,0.3219567,555.0977586207,36.4400441889,0.28656,24.0,,3.4482758621,0.002,0.002,0.039,0.52556775,36.0,250.744386423,,21.355,2069.3400215272,1.4365074361,169.0379190545,192.4198394457,0.0,0.0,13.647,1149.0,,0.056,19.4373376679,2881.053,0.058,20.1315282989,0.88352445,306.6671977225,2770.452,0.002
6615,Republic of Korea,2020,56.4909800027,100.0,15.5876494024,15.96,22.8981348637,58.9321320434,1.832292,1565.0,367.3658943476,6.9583931133,0.0,0.0,4.45,6.672,,510.649252988,1.498,9572.865,110.7610805331,1.0531706993,144.4558740279,54.4090172161,4.85,0.0,888.8,10040.0,18.83455,64.85,1264.8923520044,51269.185,13.3,1359.4910861173,27.082,528.231529329,41934.11,4.85
6644,Republic of Moldova,2020,18.8140836802,100.0,56.9276218612,0.055,0.4482477588,6.875,9.624369,1927.0,279.5018199225,86.7970660147,0.0,0.0,0.583,0.16,541.3,119.1717282127,1.778,2296.147,2.913897329,2.804146314,30.6511155503,8.4465108476,9.2,10.23,222.2,3385.0,1.1275,1.62,401.5901980261,4033.963,1.3,3041.6739072718,0.8,198.3161471734,1721.54,10.65
6701,Romania,2020,5.086136019,100.0,39.1401006711,1.427,0.6730814584,22.2412718204,3.836327,9331.0,575.0378254854,80.010376869,0.08,0.08,3.904,1.085,647.4,80.6950125839,1.778,8880.997,12.3422649144,0.2855581651,123.5577426594,28.4681802545,168.1,22.5,146.5927821868,23840.0,11.0624,42.38,2202.9670816524,19237.691,8.46,11020.5533501916,6.416,333.5119583738,10507.365,169.63
6730,Russian Federation,2020,1.9676348871,100.0,7.2195692542,18.64,0.411893195,28.7565566183,3.700196,123442.0,5492.49018371,4.7165527368,0.0,0.0,29.03,17.15,489.3,8.5350525346,1.97,36300.573,13.4328560532,0.0553127277,48.6819271779,18.9120933596,204.6,25.36,3830.0,1709825.0,801.5436,4312.0,29547.5101693252,145934.462,788.0,31010.1187750978,64.82,444.1719872856,107486.269,213.445
6787,Rwanda,2020,5.4011337534,8.2926829268,53.2156416097,0.36,2.7067669173,60.0,26.256926,1401.7,0.0,28.5714285714,0.0,0.0,0.01,0.23,1052.0,491.7318906606,1.398,10805.843,191.4358568542,0.4250901196,22.5196001345,12.0781650709,3.8,6.145,102.5,2634.0,0.0,9.5,733.4651099912,12952.218,7.0,1026.8511539877,0.6,46.32411221,2281.33,3.8
6844,Saudi Arabia,2020,100.0,100.0,1.6727606771,21.2,883.3333333333,81.5635580179,2.562572,3595.9169,28.8407887764,0.0,0.0,0.0,1.4,3.392,128.6,16.1948332085,,5454.064,184.1810737156,0.7865577949,111.2156655587,25.0758720387,0.0,,3278.9191,214969.0,1.0040595,2.4,68.9380390937,34813.871,2.2,68.9380390937,25.992,746.5989633845,29255.576,0.0
6901,Senegal,2020,5.9737421201,64.1902725815,16.6641248538,2.7586822,7.0789894791,91.3138942488,14.985345,3278.0,14.9307865473,33.7952270978,0.0,0.0,0.001415764,0.261,576.0,85.1198566418,1.791,8923.031,3417.0049670421,0.0736106621,46.9222302915,5.7187478985,2.17,5.4,187.1,19671.0,0.25,25.8,1540.8571716778,16743.927,3.5,2327.4110069878,3.021097964,180.4294753555,8277.123,13.17
6958,Sierra Leone,2020,5.8072413152,18.8980432544,24.1908713693,0.0457,0.0285625,21.5362865221,55.829098,1749.0,27.5793492352,0.0,0.0,0.0,0.0555,0.111,2546.0,110.3317150761,3.324,4592.96,3.5076216331,3.5522643487,12.8628576013,8.4108797131,0.0,0.0,155.36,7230.0,0.22,160.0,20057.7085346678,7976.983,25.0,20057.7085346678,0.2122,26.6015359441,3453.971,0.0
6986,Slovakia,2020,3.0100595773,100.0,27.8197022231,0.0295,0.0588822355,5.3153153153,1.757702,1364.0,316.2661581107,74.8502994012,0.0,0.0,0.2324,0.2931,762.7,111.3530899449,1.778,2520.712,96.7084611173,1.6989891305,206.9408040733,149.8730021926,0.0,12.6,57.3,4903.0,1.7267,12.6,2307.8436278423,5459.642,1.73,9176.4258535633,0.555,101.6550169407,2930.688,37.5
7015,Slovenia,2020,2.5372457913,100.0,11.5404916116,0.003,0.0094132413,0.2988047809,2.122207,233.95,16.1139966656,41.4182616881,0.0,0.0,0.831,0.17,949.3,102.5516843346,1.778,934.472,15.2117102391,8.6376806778,169.9114539159,41.3862464307,13.2,18.27,3.376,2027.21,0.0335,18.67,8980.5467984134,2078.938,13.5,15329.9424994877,1.004,482.9388851423,1147.583,13.2
7072,Somalia,2020,11.5599639315,100.0,1.7642630869,3.281,22.3197278912,99.4845360825,52.880111,1125.0,0.0,59.1836734694,0.0,0.0,0.002,0.015,408.3,24.9242888059,3.205,8674.136,50.0532448831,0.0294584512,30.2055987922,0.1970417374,8.7,0.0,200.0,63766.0,0.0,6.0,377.5194230597,15893.222,3.3,924.9225864963,3.298,207.5098428752,7431.038,8.7
7129,South Africa,2020,18.471690594,100.0,10.1821850725,11.989,23.3476144109,62.4791819225,2.404754,12413.0,523.0578352009,12.8404669261,0.0,0.0,4.08979158,3.11,548.3,48.6499684191,2.121,19170.34,16.1954584444,0.1124305973,63.2500657383,13.7732323245,6.6,10.85,2127.275,121909.0,31.021875,44.8,755.3699129082,59308.69,4.8,865.8090407999,19.18879158,323.5409782276,39550.889,6.55
7138,South Sudan,2020,1.8570206554,100.0,3.9085990125,0.24,0.4848484848,36.4741641337,5.742569,2477.7,,65.7894736842,0.0,0.0,0.225,0.193,,17.6582243536,1.778,10860.946,9.7645603316,0.0269490833,17.8099918758,8.5726782471,50.0,34.0,19.0,63391.0,,26.0,2322.7299223449,11193.725,4.0,4422.1204290797,0.658,58.7829341886,2749.061,23.5
7195,Spain,2020,29.0854169827,100.0,32.899971645,18.96,17.0044843049,65.3342522398,3.148007,16646.3951,1150.9968029364,0.269058296,0.0,0.0,5.5,4.56,536.0,92.4062453898,1.778,8915.682,36.2396619201,0.5701950313,184.4935185471,36.2308574407,0.3,34.4,3759.398293,50596.9892,53.8146,111.2,2378.366548976,46754.778,29.9,2384.783005493,29.02,620.6852270799,37543.537,0.3
7252,Sri Lanka,2020,49.4433943125,100.0,36.1530254534,11.31,21.4204545455,87.362892013,8.361193,2372.0,277.4917528869,0.0,0.0,0.0,0.831,0.805,1656.0,326.3717268709,1.651,17138.554,26.92603003,0.3247015547,67.0100062925,6.1788166695,0.0,0.0,570.0,6561.0,5.942,52.8,2465.763135711,21413.249,7.8,2465.763135711,12.946,604.5789688431,3945.488,0.0
7261,Sudan,2020,22.9116205426,100.0,11.2943769968,25.91,68.544973545,96.1945424169,21.400464,21210.84,484.1586836357,96.1277831559,0.0,0.0,0.075,0.95,,23.348913738,3.509,28191.779,255.4412321011,0.1765081007,56.5689157286,2.8762534709,99.3,84.0,1852.0,187800.0,21.23,4.0,91.2216078447,43849.26,3.0,862.0441941324,26.935,614.2635018242,15349.424,33.8
7318,Suriname,2020,100.0,100.0,0.4089854719,0.4311,0.4354545455,69.9951290794,8.193638,67.0,34092.9236727625,0.0,0.0,0.0,0.1355,0.0493,1848.0,3.5809547064,1.778,195.577,10.9463941119,0.8395663648,49.0841348752,6.9248600607,0.0,0.0,51.42,16382.0,20.0,99.0,168759.972180174,586.632,90.0,168759.972180174,0.6159,1049.8915845027,382.175,0.0
7375,Sweden,2020,5.0211008646,100.0,5.6814643263,0.102,0.0586206897,4.1062801932,1.374915,2542.03,3560.5561394814,1.724137931,0.0,0.0,1.267,0.699,700.4,22.5719656413,1.778,1216.924,78.7798447544,3.6172890606,524.4975471433,187.9254477622,3.0,3.0,161.5,44742.5145,35.959,171.0,16931.9252440648,10099.265,20.0,17228.9765641361,2.484,245.958493019,8904.762,3.0
7432,Switzerland,2020,19.9173027798,100.0,10.2938504577,0.1601,0.2992523364,9.05645435,0.689423,425.0371,386.3253646433,24.4859813084,0.0,0.0,0.6427,0.965,1450.0,209.6037843188,1.778,2261.695,267.2013245165,6.3470551033,562.5804652903,404.8176285745,13.1,40.4,52.0,4129.039,3.3435,40.4,4668.0259403588,8654.622,2.5,6181.6680150791,1.7678,204.2607984497,6408.84,13.1
7489,Syrian Arab Republic,2020,40.8019348839,100.0,30.9590668539,14.67,87.3110344007,87.5277439679,20.597187,5733.0,1122.814925016,72.3587318812,1.33,11.13,0.6154,1.475,375.8,94.5061993736,2.076,8426.159,9.945159789,0.1184547911,6.9817716337,1.0832734469,28.52,31.73,1341.0,18518.0,19.65,7.132,407.5275341076,17500.658,6.174,960.0781867745,16.7604,957.7011332945,10498.283,9.67
7518,Tajikistan,2020,81.9930607405,100.0,7.363134814,7.378,33.6741214058,74.5252525253,22.606157,1041.0,3093.5309502503,17.3375016282,0.0,0.0,1.61,0.912,338.6,67.4610623851,1.778,6868.973,1.4399747095,0.2919911667,6.1595965444,1.0192143595,34.19,94.65,742.1,14138.0,29.505,63.46,6653.6340994029,9537.645,6.0,2297.2127815619,9.9,1037.9920829513,2606.273,-41.55
7575,Thailand,2020,57.46619381,100.0,43.2842220143,51.79,11.8077563211,90.3744808572,8.644852,22210.0,1135.1135382879,48.8132965505,0.0,0.0,2.777,2.739,1724.0,136.0305152791,2.124,33712.543,46.796220871,0.4150630832,96.8760288771,7.2731069265,0.0,61.25,6415.0,51312.0,79.2309,224.51,3216.4766584884,69799.978,41.9,6283.8128688235,57.306,821.0031240984,35698.325,214.1
7632,Timor-Leste,2020,28.4276658578,100.0,12.8715534633,1.071,13.0371272063,91.3822525597,15.435521,191.4,,0.0,0.0,0.0,0.002,0.099,,88.6647612643,1.778,948.751,267.8567493801,0.0864664364,11.7715264942,1.5304609002,0.0,0.0,34.65,1487.0,,8.215,6230.8249490878,1318.445,0.886,6230.8249490878,1.172,888.9259696081,432.649,0.0
7689,Togo,2020,0.0851401399,100.0,49.6566296883,0.076,0.5170068027,34.0807174888,19.926453,2820.0,207.4557625064,21.768707483,0.0,0.0,0.0063,0.1407,1071.0,145.7778482127,1.564,4795.827,180.9338001235,0.0150240908,25.7692678443,21.3756087775,3.2,9.592,7.86,5679.0,1.717469,11.5,1389.1029583786,8278.724,5.7,1775.6359554927,0.223,26.9365182364,3588.464,3.2
7746,Trinidad and Tobago,2020,17.4690508941,100.0,9.1617933723,0.0167,0.4348958333,4.3580375783,1.113531,47.0,51.0686765446,0.0,0.0,0.0,0.1289,0.2376,1839.0,272.8046783626,1.778,644.583,50.4371730236,2.4562502923,58.5268560323,53.3620876198,0.0,0.0,7.0,513.0,0.07147,3.84,2743.8606118809,1399.488,0.614,2743.8606118809,0.3832,273.8144235606,733.146,0.0
7803,Tunisia,2020,17.2497159332,100.0,30.4443493674,2.71,58.72156013,75.5421753916,11.739474,4981.0,227.7235605954,9.1007583965,0.1,0.1,0.0619,0.8155,326.1,72.2365319968,2.146,3622.337,143.334715262,0.315635117,32.144540279,10.0188611918,0.32,0.16,443.0,16361.0,2.691378,4.195,354.9484081008,11818.619,1.595,390.4855550382,3.5874,303.5380021981,8280.799,0.42
7832,Turkmenistan,2020,100.0,100.0,4.0975209998,16.1196,65.0902483343,61.4204010715,11.277192,2000.0,927.5931821196,96.9956163798,0.0,0.0,0.8067654003,0.4535,71.38,12.356484327,,2863.841,16.8695038404,0.2182934888,30.0232552777,1.1714396434,80.2,78.46,1800.0,48810.0,5.5945,1.405,232.9552991113,6031.2,0.405,4106.1480302427,26.2447,4351.4889242605,3167.354,23.36
7889,Türkiye,2020,30.6206143928,100.0,29.4709365251,54.27,25.6474480151,87.2413780125,6.68056,23145.0,1871.3281696725,1.5184381779,-1.2,0.0,1.030309691,6.906410602,614.5,107.3904208315,1.607,20032.305,251.7745083341,0.3827114733,83.311445707,13.7534741489,1.8,60.12,5353.0,78535.0,157.826071881,227.0,2691.5166135286,84339.067,67.8,2508.9203322584,62.206720293,737.5789477609,63803.445,-15.4
7946,Uganda,2020,0.1306616025,17.2701474716,37.6733595529,0.259,0.4309484193,40.6593406593,23.740243,9100.0,1748.9940700256,35.1081530782,0.0,0.0,0.05,0.328,1350.0,189.3645497827,1.124,35412.691,168.2381612757,0.0427232937,49.547124842,38.7353694585,21.1,37.0,64.487,24155.0,80.00075,39.0,852.626615763,45741.007,29.0,1313.9194771116,0.637,13.9262347241,11775.012,21.1
7975,Ukraine,2020,3.2448055179,100.0,55.9638803745,3.059,1.7452076677,30.9929078014,9.268396,33777.0,1266.7261508397,68.5645823825,0.0,0.0,4.04,2.77,1813.0,72.4608764808,1.778,13244.602,4.2501672532,0.0962385031,20.835717446,7.6170219462,36.13,28.9,2170.0,60355.0,55.3987,55.1,1259.896187298,43733.762,22.0,4007.8875446388,9.87,225.683763496,30334.632,120.18
8032,United Arab Emirates,2020,100.0,100.0,1.2611981368,2.316096682,1544.0644546667,46.495712808,0.918609,89.8,6.1747035156,0.0,0.0,0.0,0.037,2.628215663,51.95,138.9059752211,,1271.026,3631.0967991671,1.4709270718,88.694591841,74.4514458628,0.0,0.0,57.931,7120.2135,0.0610703,0.15,15.166218724,9890.402,0.12,15.166218724,4.981312345,503.6511503779,8542.144,0.0
8089,United Kingdom of Great Britain and Northern Ireland,2020,4.9004632164,100.0,24.7263909528,1.183,0.8047619048,14.0498812352,0.583375,6023.5961,77.6522279384,1.3605442177,0.0,0.0,1.01,6.227,1082.0,278.6667665531,1.778,10839.028,421.8190985836,0.6964854704,347.4017929632,307.616650435,2.0,3.0,227.1465591707,24361.0,5.2715,145.0,2135.9334252236,67886.011,9.8,2165.3945759164,8.42,124.0314444164,56495.18,2.0
8146,United Republic of Tanzania,2020,5.9583101766,100.0,16.3846722263,4.632,4.811467747,89.3518518519,26.9256,15521.2,1744.3720448471,12.7454035525,0.0,0.0,0.025,0.527,1114.0,63.0573398079,2.612,40661.266,775.4128762183,0.2299536009,48.0580778993,8.8304540968,12.27,15.64,363.5,94730.0,104.1987,84.0,1406.2291733693,59734.218,30.0,1611.6390776221,5.184,86.7844289851,22113.353,12.27
8203,United States of America,2020,20.7024718114,100.0,16.3186326414,176.2,5.7412838058,39.6587814265,0.835178,160436.8,2223.1464867905,8.1785597915,0.0,0.0,209.7,58.39,938.7,33.6675293012,1.579,57456.395,14.7161614754,0.1888686592,274.0261500063,43.0341547593,251.0,10.5,26708.0,983151.0,735.867380689,2818.0,8513.5269807854,331002.651,1383.0,9271.8290645956,444.29,1342.2551108208,273975.139,251.0
8260,Uruguay,2020,16.7126504256,100.0,11.7092271025,3.17,1.8408826945,86.6120218579,7.538943,2063.4,4938.1124871536,46.4576074332,0.0,0.0,0.08,0.41,1550.0,19.7124616956,1.625,156.716,108.8534040191,0.225652477,90.7899767733,12.7452134292,5.0,0.0,297.968,17622.0,17.15366949,92.2,26542.0743696257,3473.73,22.9,49572.0738226632,3.66,1053.6224749765,3337.671,80.0
8289,Uzbekistan,2020,86.6220735786,100.0,9.8863940123,54.36,111.2338858195,92.2920203735,26.068616,4438.2,657.6762524043,80.0707403342,0.0,0.0,2.13,2.41,188.8,74.5549385191,1.778,16479.496,14.7714081732,0.427296688,16.5206167254,1.6045099096,102.2,99.35,4280.51,44892.0,22.0119,16.34,488.210012052,33469.203,8.8,1460.1483040991,58.9,1759.8267876292,16756.329,32.53
8346,Venezuela (Bolivarian Republic of),2020,38.3691497529,100.0,3.6182226852,16.71,1.2611320755,73.852110155,5.009039,3300.0,5543.1858415794,39.2452830189,0.0,0.0,0.7933,5.123,1813.0,31.178049449,1.54,3888.173,57.1375521314,0.1126888315,8.4778215211,4.0060518129,495.0,160.0,1055.3,91205.0,157.6257,805.0,28309.2452720044,28435.94,227.0,46595.9627147898,22.6263,795.6937593763,29284.219,520.0
8403,Viet Nam,2020,53.7957308394,100.0,35.3772303233,77.75,8.7940551056,94.7823966841,14.853162,11718.0,459.381988718,59.347147446,0.0,0.0,3.074,1.206,1991.0,293.87005706,2.031,61632.897,23.9147243327,0.2656692522,100.5561771129,2.6263610455,524.7,37.15,4585.1,33123.0,44.71559,359.42,3692.4722313853,97338.579,71.42,9082.9351433207,82.03,842.7285547285,36727.248,524.7
8460,Yemen,2020,54.5100020581,100.0,2.7501562589,3.235,154.0476190476,90.7433380084,19.275751,1452.0,15.506623692,0.0,0.0,0.0,0.065,0.265,232.7,56.4917779419,2.342,18779.891,62.310365403,0.6699169525,46.4191593633,5.1945111708,0.0,,680.4384303797,52797.0,0.4625,2.1,70.4084535206,29825.964,1.5,70.4084535206,3.565,119.5267318099,11465.414,0.0
8517,Zambia,2020,5.8741197536,60.9180220244,5.0969293525,1.152,1.0992366412,73.2824427481,2.977086,3836.0,5501.1775213767,23.4732824427,0.0,0.0,0.13,0.29,1065.0,24.4269342687,2.885,10342.892,66.6382769524,0.0348945886,44.5366005898,13.7524101405,24.6,104.3,255.898,75261.0,101.1334,80.2,4362.4997994175,18383.955,47.0,5700.6231792887,1.572,85.5093476893,8336.381,24.6
8574,Zimbabwe,2020,7.0998923866,90.4743314464,10.4923738356,3.041069651,15.205348255,80.6354257516,8.272958,4100.0,6723.4378645817,38.7,0.0,0.0,0.081352,0.64896,722.5,38.0359402191,1.657,11980.005,47.2858649553,0.0394151036,19.8646828442,4.4699926711,0.0,14.14,199.797,39076.0,99.929946,12.26,824.8713375645,14862.924,6.0,1345.6302407252,3.771381651,253.7442599451,5700.46,7.74
