,country,year,%_of_agricultural_gva_produced_by_irrigated_agriculture,%_of_agricultural_water_managed_area_equipped_for_irrigation,%_of_total_country_area_cultivated,agricultural_water_withdrawal,agricultural_water_withdrawal_as_%_of_total_renewable_water_resources,agricultural_water_withdrawal_as_%_of_total_water_withdrawal,agriculture_value_added_%_gdp,cultivated_area_arable_land_plus_permanent_crops,dam_capacity_per_capita,dependency_ratio,groundwater_accounted_inflow,groundwater_entering_the_country_total,industrial_water_withdrawal,municipal_water_withdrawal,national_rainfall_index,population_density,ratio_between_rainfed_and_irrigated_yields,rural_population,industrial_water_use_efficiency,irrigated_agriculture_water_use_efficiency,services_water_use_efficiency,water_use_efficiency,surface_water_entering_the_country_total,surface_water_leaving_the_country_to_other_countries_total,total_agricultural_water_managed_area,total_area_of_the_country_excl_coastal_water,total_dam_capacity,total_internal_renewable_water_resources,total_internal_renewable_water_resources_per_capita,total_population,total_renewable_groundwater,total_renewable_water_resources_per_capita,total_water_withdrawal,total_water_withdrawal_per_capita,urban_population,water_resources_total_external_renewable
1283,Cabo Verde,2020,7.1812805864,100.0,13.3995037221,0.025,8.3333333333,92.5925925926,4.86405,54.0,0.0,0.0,0.0,0.0,0.0004,0.0016,144.0,137.9620347395,1.778,189.2,820.8751916251,0.2279310789,630.3188540892,49.7243896358,0.0,0.0,3.476,403.0,0.0,0.3,539.5809614254,555.987,0.124,539.5809614254,0.027,48.5622865283,378.148,0.0
1340,Cambodia,2020,15.1851044466,42.2944130571,23.6908970393,2.053,0.4312119303,94.0018315018,22.836973,4289.0,0.0598123149,74.6691871456,0.0,0.0,0.033,0.098,2348.0,92.3495636323,1.616,12665.049,237.6440712154,0.3884806431,86.3164526057,7.8291288762,355.5,471.5,637.2,18104.0,0.001,120.6,7213.3651813973,16718.965,17.6,28476.6431414863,2.184,130.6300958223,4050.459,355.5
1397,Cameroon,2020,0.7200098082,100.0,16.3006898873,0.737,0.2602860675,67.7140757075,15.151177,7750.0,588.062365876,3.5846724351,0.0,0.0,0.1046,0.2468,1694.0,55.8343071681,1.52,11016.661,80.7836097669,0.0526795744,76.065679702,25.0475929607,4.0,40.0,25.654,47544.0,15.610623,273.0,10284.0883342161,26545.863,100.0,10666.4454645908,1.0884,41.0007389852,14941.523,10.15
1454,Canada,2020,3.2043964341,100.0,3.8868392419,3.859,0.1329772571,10.6510998868,1.803944,38401.0,22296.1757826541,1.7918676775,0.0,0.0,27.506,4.866,693.6,3.8201527367,2.065,6933.141,12.6835646659,0.2396614119,228.7988799652,40.383492948,52.0,138.3,1218.0,987975.0,841.5057,2850.0,75512.3833154833,37742.154,370.0,76890.1531163272,36.231,959.961108738,30670.064,52.0
1511,Central African Republic,2020,0.0079807687,21.2598425197,3.0177533789,0.0004,0.0002836879,0.5517241379,32.005,1880.0,,0.0,0.0,0.0,0.012,0.0601,1331.0,7.7526838743,1.778,2844.355,33.6661926044,0.1278484768,14.5015795697,17.5943501073,0.0,141.0,0.635,62298.0,,141.0,29193.954905071,4829.767,56.0,29193.954905071,0.0725,15.0110761037,2076.534,0.0
1568,Chad,2020,0.9902472506,17.1355151296,4.0794392523,0.6722,1.4708971554,76.4211005002,31.436945,5238.0,,67.1772428884,0.0,0.0,0.1037,0.1037,648.2,12.792728972,1.382,12454.833,23.4662418978,0.0516675827,65.0093649799,10.4702721491,30.7,10.15,176.674,128400.0,,15.0,913.1939726276,16425.864,11.5,2782.1976366053,0.8796,53.5496945549,3830.26,30.7
1625,Chile,2020,70.0588637565,100.0,2.2417788217,29.42,3.1872250991,90.8866234167,3.862609,1695.0,691.3423854457,4.1232422594,0.0,0.0,1.66,1.29,2483.0,25.2827696483,1.758,2267.065,42.3430584764,0.2277824922,114.2613560959,6.9319736594,38.06,3.15,1108.559,75609.6,13.21584,885.0,46295.8095073388,19116.201,140.0,48286.7908744002,32.37,1693.3280833362,16205.574,38.06
1682,China,2020,61.526690312,100.0,14.1326997592,361.24,12.7187330559,62.1445405908,7.799552,135674.1,564.4446495287,0.9618973178,0.0,0.0,103.04,117.01,1049.0,153.2588427043,1.538,554487.938,53.6433093549,2.104900449,74.5076270382,25.8148570832,17.17,718.8,75687.0,960001.29,830.46,2812.9,1911.8637317382,1471286.867,828.8,1930.4325102767,581.29,395.0895050027,902077.76,27.32
1739,Colombia,2020,5.1283050634,100.0,7.6536409021,25.035216316,1.0608142507,85.9853698166,7.68427,8738.5445,221.7313084667,9.1101694915,0.0,0.0,0.357732213,3.722721229,2862.0,44.5657026494,1.603,9328.416,168.7807487733,0.0471687958,50.9670908774,8.6309353368,215.0,1375.0,311.821,114175.0,11.28233,2145.0,42155.623586718,50882.891,510.0,46381.0124310743,29.115669758,572.2094241461,40891.996,215.0
1796,Comoros,2020,0.1290099316,100.0,62.3320795271,0.0047,0.3916666667,47.0,36.700643,116.0,,0.0,0.0,0.0,0.0005,0.0048,2304.0,467.2761955938,1.778,614.114,189.0433663944,0.1182458226,126.1110609658,70.0410531199,0.0,0.0,0.13,186.1,,1.2,1379.9432153367,869.601,1.0,1379.9432153367,0.01,11.4995267945,255.487,0.0
